HR,8.96103896103896,3.3075139586564726
OBP,0.33665844155844155,0.03448813701754571
OPS,0.7835051948051949,0.09645342388621343
R,31.883116883116884,6.244420308786477
aRBI,26.155844155844157,8.832596987533242
aSB,2.9512987012987013,2.060973721675318
ERA,3.8005974025974028,1.051261809641875
HRA,7.090909090909091,2.9313800010636233
K,56.35064935064935,10.939245452902854
NQW,1.948051948051948,7.117861366215017
VIJAY,4.839318181818181,3.601017058047212
aWHIP,1.2675064935064935,0.18987822884054964
