Team,Wins,xWins,LUCK
AIDS,81,72.108183453150673,8.8918165468493271
DIPA,60,49.113567033176004,10.886432966823996
FISHFRY,77,74.876150921893966,2.1238490781060335
BALK,70,64.505134845882225,5.4948651541177753
CHOICE,81,80.837887428758648,0.16211257124135159
MICE,63,60.930677497567139,2.0693225024328612
CORN,47,52.602392389601341,-5.6023923896013414
ICHI,58,66.683429835978941,-8.6834298359789415
BUSTERS,68,67.763526499280985,0.23647350071901485
POLLOS,56,55.214471112013406,0.78552888798659382
WORKS,64,69.228896125940651,-5.2288961259406506
PWRS,74,70.277973815374708,3.7220261846252924
WHACK,66,68.954732089924747,-2.9547320899247467
WIND,59,69.315675301021159,-10.315675301021159
